q_id,questions,answer,Faithfulness,Answer_Relevancy,Contextual_Recall,Contextual_Precision,Contextual_Relevancy
1,我不想要紙本帳單了，想改用手機收簡訊看水費，要去哪裡登記？,,,,,,
2,家裡的水龍頭打開有一股像游泳池的味道，這是不是水質有問題？,,,,,,
3,浴室地板看到紅色的線蟲在動，是自來水管裡面爬出來的嗎？會不會生病？,,,,,,
4,水費單已經過期幾天了，還可以直接去7-11繳錢嗎？還是要去水公司？,,,,,,
5,水龍頭流出來的水白白的像牛奶一樣，放一下又變透明，是不是有加什麼化學藥劑？,,,,,,
6,我想同時收到Email的水費單和手機簡訊通知，系統說不行，為什麼？,,,,,,
7,新家廁所磁磚老是有粉紅色的污漬，是不是水不乾淨？,,,,,,
8,煮開水上面都會浮一層白白的東西，喝這種水會不會得腎結石啊？,,,,,,
9,帳單上多了一筆污水處理費，我沒用下水道為什麼要收？,,,,,,
10,我的帳戶錢不夠導致水費沒扣到款，現在該怎麼補繳？,,,,,,
11,剛買了二手屋，水費單的名字還是前屋主，要怎麼改成我的名字？,,,,,,
12,房子要空著半年沒人住，不想一直繳基本費，可以先暫停供水嗎？,,,,,,
13,水的硬度太高會有茶垢，法規標準是多少才算合格？,,,,,,
14,發現鄰居好像私接水管偷水，我要去哪裡檢舉？會保密嗎？,,,,,,
15,我是職業軍人的太太，家裡的水費有打折嗎？需要準備什麼文件？,,,,,,
16,颱風天過後水很濁，這時候的氯含量標準會不一樣嗎？,,,,,,
17,門口的水表被人偷走了，我要賠錢嗎？還是只要報警就好？,,,,,,
18,用手機掃QR Code刷卡繳水費，銀行會多收手續費嗎？,,,,,,
19,我不想要用台水App了，要怎麼把我的個資和帳號全部刪掉？,,,,,,
20,頂樓水塔常常沒水，我可以直接在一樓裝馬達抽水上去嗎？,,,,,,
21,救命，我打開水龍頭流出來是白色的，是不是有毒？,,,,,,
22,我要搬家了，那個水費要怎麼處理才不會繼續算我的錢？,,,,,,
23,我覺得我家水費怪怪的，平常沒用這麼多，是不是你們算錯？,,,,,,
24,我不喜歡那個紙張的單子，很不環保，有沒有別的方式？,,,,,,
25,喝起來有一股藥味，這水是不是不乾淨？,,,,,,
26,我想把名字改成我的，原本是前屋主的，要帶什麼去？,,,,,,
27,熱水瓶底下都有白白的垢，那個吃下去會不會結石？,,,,,,
28,我忘了繳錢，現在半夜超商還能繳嗎？還是會被斷水？,,,,,,
29,為什麼洗澡水忽大忽小，樓上根本洗不痛快！,,,,,,
30,我覺得隔壁好像偷接我的水管，水費變好多，要去哪裡講？,,,,,,